Date,Open,High,Low,Close,Adj Close,Volume
2005-07-08,163.688004,165.625000,161.438004,164.011993,96.316078,1513032
2005-07-11,165.500000,166.375000,164.061996,165.906006,97.428352,1260640
2005-07-12,163.750000,165.000000,159.250000,160.688004,94.364105,2581528
2005-07-13,162.500000,162.750000,158.250000,158.787994,93.248291,2340112
2005-07-14,159.875000,160.125000,152.386993,153.069000,89.889816,2630128
2005-07-15,153.750000,157.587006,153.386993,156.024994,91.625755,3445472
2005-07-18,159.625000,167.649994,159.625000,165.125000,96.969666,4041336
2005-07-19,165.000000,167.625000,163.750000,164.643997,96.687271,1427328
2005-07-20,166.125000,166.500000,163.125000,163.500000,96.015427,824480
2005-07-21,163.750000,164.850006,160.125000,161.281006,94.712334,1149856
2005-07-22,161.188004,162.125000,159.000000,161.712006,94.965401,1310288
2005-07-25,162.500000,163.125000,159.625000,160.399994,94.194962,931200
2005-07-26,160.000000,161.250000,157.438004,158.093994,92.840759,1546112
2005-07-27,161.250000,161.250000,158.375000,160.574997,94.297760,539672
2005-07-28,null,null,null,null,null,null
2005-07-29,157.500000,161.238007,157.500000,158.643997,93.163757,2143456
2005-08-01,158.750000,160.475006,155.074997,156.574997,91.948708,800568
2005-08-02,157.500000,162.356003,157.500000,161.425003,94.796890,1683776
2005-08-03,163.125000,163.593994,160.375000,162.556000,95.461075,2779480
2005-08-04,165.000000,165.000000,161.125000,161.824997,95.031776,1829896
2005-08-05,163.156006,163.156006,159.518997,160.656006,94.345291,813664
2005-08-08,160.625000,160.869003,159.250000,160.018997,93.971191,971568
2005-08-09,160.625000,160.744003,158.125000,160.561996,94.290077,2026120
2005-08-10,161.250000,164.386993,160.886993,164.125000,96.382446,2572864
2005-08-11,162.731003,166.175003,162.731003,163.975006,96.294380,1187816
2005-08-12,165.337006,165.488007,159.375000,160.363007,94.173203,1126264
2005-08-16,160.625000,161.875000,158.136993,158.675003,93.181961,1161800
2005-08-17,158.625000,162.625000,158.000000,162.274994,95.296043,1215224
2005-08-18,163.125000,165.500000,163.125000,164.212006,98.249924,1950776
2005-08-19,164.188004,166.625000,164.000000,165.811996,99.207222,1329344
2005-08-22,166.250000,168.356003,164.000000,164.587006,98.474312,1574160
2005-08-23,157.037994,166.261993,157.037994,164.569000,98.463524,1411320
2005-08-24,164.000000,164.375000,160.875000,162.531006,97.244156,1037888
2005-08-25,163.725006,165.824997,162.250000,165.255997,98.874542,1090032
2005-08-26,165.625000,171.250000,165.625000,170.537994,102.034836,2602520
2005-08-29,170.625000,170.750000,166.375000,169.255997,101.267799,1074336
2005-08-30,170.625000,173.875000,170.125000,173.005997,103.511475,1640776
2005-08-31,173.500000,177.000000,173.000000,175.731003,105.141838,1871712
2005-09-01,175.587006,179.000000,175.587006,177.406006,106.144051,1487800
